elapsed_sec,latency_ms,target_pressure_pct,actual_pressure_pct
110.876259,2.54073,0.0,69.973267
111.530373,2.747021,0.0,69.970135
112.179108,2.6129,0.0,69.9733
112.843152,2.59018,0.0,69.975661
113.498257,2.393127,0.0,69.976693
114.144241,2.841433,0.0,69.976438
114.805815,2.742642,0.0,69.976195
115.461317,2.68067,0.0,69.980361
116.115292,2.771942,0.0,69.981885
116.769388,2.257136,0.0,69.981035
117.420249,2.702121,0.0,69.985305
118.081031,2.811452,0.0,69.987559
118.739386,2.957924,0.0,69.990903
119.393547,2.816822,0.0,69.987222
120.045446,2.792593,0.0,69.988433
120.690294,2.376297,0.0,69.991449
121.337373,2.371097,0.0,69.98907
121.992455,2.840363,0.0,69.992936
122.64961,2.758441,0.0,69.99246
123.300942,2.797082,0.0,69.996887
123.954317,2.962504,0.0,69.99845
124.613294,2.877923,0.0,69.995136
125.265833,2.841733,0.0,69.994475
125.915799,2.5982,0.0,69.988685
126.571391,2.689551,0.0,69.98762
127.222993,3.128816,0.0,69.990663
127.868903,2.900133,0.0,69.990211
128.52115,3.050745,0.0,69.98721
129.176947,2.709041,0.0,69.985411
129.824905,2.490559,0.0,69.98792
130.478652,2.63325,0.0,69.986081
131.130109,2.710981,0.0,69.990138
131.778878,2.61378,0.0,69.989741
133.685524,4.4028,0.0,69.987444
134.337318,3.533111,0.0,69.99385
134.991072,3.688752,0.0,69.990142
135.645298,3.42869,0.0,69.989926
136.298229,3.276917,0.0,69.98924
136.960981,3.550751,0.0,69.989741
137.614483,3.621562,0.0,69.988512
138.26792,3.196817,0.0,69.992381
138.92541,3.51727,0.0,69.987013
139.57255,3.246238,0.0,69.987125
140.216918,3.273597,0.0,69.986728
140.874763,2.878543,0.0,69.984622
141.523039,3.122276,0.0,69.985562
142.171959,3.134856,0.0,69.985599
142.829054,3.42243,0.0,69.988045
143.490121,3.161076,0.0,69.986315
144.151573,3.289378,0.0,69.990703
144.807916,3.311798,0.0,69.997412
145.453397,2.999135,0.0,70.000629
146.100709,3.174996,0.0,70.002104
146.762571,3.299778,0.0,70.002364
147.421477,3.101626,0.0,70.003945
148.073029,3.219467,0.0,69.999852
148.731434,3.349888,0.0,69.996074
149.378979,3.331519,0.0,69.997087
150.030661,3.216637,0.0,69.996144
150.684242,3.264607,0.0,69.998001
151.331707,2.814463,0.0,69.998186
151.980188,3.285697,0.0,69.995206
152.630937,3.133396,0.0,69.995397
153.288727,2.958224,0.0,69.998031
153.941854,2.948504,0.0,69.999843
154.593909,2.797463,0.0,70.001991
155.244704,3.147406,0.0,70.004707
155.889223,3.243067,0.0,70.009271
156.539898,3.184717,0.0,70.003809
157.192504,3.141196,0.0,69.99926
157.856106,2.742001,0.0,70.002474
158.502846,3.250758,0.0,69.998693
159.160852,2.852583,0.0,69.999127
159.812979,3.366168,0.0,69.994969
160.465414,3.155037,0.0,69.999846
161.11782,3.259727,0.0,69.999479
161.769632,2.787492,0.0,69.996359
162.415487,3.091476,0.0,69.993531
163.076792,2.803352,0.0,69.996253
163.735831,2.735642,0.0,69.993731
164.390913,3.334278,0.0,69.993483
165.040846,3.254737,0.0,69.992035
165.695511,2.935724,0.0,69.992032
166.343818,2.952904,0.0,69.994748
166.995653,3.271658,0.0,69.990142
167.651058,3.394639,0.0,69.991999
168.303452,2.959354,0.0,69.995106
168.952963,3.056145,0.0,69.995801
169.59953,3.353949,0.0,69.993043
170.25102,3.116495,0.0,69.993804
170.912607,3.101666,0.0,69.99347
171.560083,3.43914,0.0,69.992979
172.21425,3.572841,0.0,69.996174
172.86291,2.867383,0.0,69.992566
173.513221,2.59773,0.0,69.991707
174.16147,2.959544,0.0,69.991835
174.810823,2.761591,0.0,69.989826
175.463557,3.162767,0.0,69.988988
176.114945,3.094895,0.0,69.99148
176.778216,2.941894,0.0,69.988069
177.429614,2.60247,0.0,69.988888
178.089212,3.602832,0.0,69.990937
178.7375,2.897653,0.0,69.999467
179.395123,2.671341,0.0,70.00214
180.040379,2.558639,0.0,69.993865
180.691389,3.154667,0.0,69.997024
181.344503,3.246657,0.0,70.000183
181.995291,2.865633,0.0,70.005924
182.641355,3.099095,0.0,69.999816
183.299492,3.058696,0.0,70.000237
183.949531,3.281607,0.0,70.001129
184.598073,3.158197,0.0,70.001794
185.249849,3.213727,0.0,70.002559
185.897981,3.261757,0.0,70.001706
186.558601,2.839903,0.0,69.999703
187.2104,3.184337,0.0,70.000004
187.861897,2.925933,0.0,69.998505
188.513106,3.270818,0.0,69.997825
189.164908,3.387139,0.0,69.998319
189.81902,3.045875,0.0,70.000541
190.470123,2.964504,0.0,70.000732
191.125443,2.784072,0.0,69.998908
191.775759,2.911794,0.0,69.999482
192.426842,3.015764,0.0,70.000055
193.08214,3.124086,0.0,70.00373
193.733712,2.985294,0.0,70.001263
194.388742,2.658821,0.0,70.003936
195.043291,2.902233,0.0,70.003663
195.69479,3.041456,0.0,70.001005
196.347476,2.774851,0.0,69.999379
197.000391,2.432328,0.0,70.000829
197.656699,2.816383,0.0,70.000073
198.311728,2.925863,0.0,70.003563
198.965153,3.190847,0.0,70.000304
199.61344,2.889163,0.0,69.998696
200.263073,2.880674,0.0,69.996714
200.911936,3.149146,0.0,69.999248
201.563943,2.928243,0.0,70.000319
202.214184,3.075216,0.0,70.00146
202.871192,3.286278,0.0,70.003023
203.53224,2.853153,0.0,69.998599
204.1798,3.299867,0.0,69.998541
204.827709,2.926634,0.0,69.9993
205.475865,3.123026,0.0,70.001642
206.127964,2.686381,0.0,70.001563
206.779748,3.246747,0.0,69.99974
207.429274,3.312598,0.0,70.002762
208.074397,3.063946,0.0,70.000768
208.717973,3.438839,0.0,70.001724
209.376022,2.912874,0.0,70.000083
210.022812,2.979284,0.0,70.001233
210.666439,3.43304,0.0,70.001997
211.330321,3.243037,0.0,70.002416
211.983824,3.47257,0.0,70.005554
212.647673,3.273047,0.0,70.002947
213.302934,2.894344,0.0,70.002662
213.954687,3.385979,0.0,70.006315
214.608786,3.261047,0.0,70.004188
215.263205,3.133616,0.0,70.003851
215.911127,2.905024,0.0,70.004058
216.557355,3.178586,0.0,70.000875
217.210737,3.369269,0.0,70.001591
217.860108,2.864283,0.0,69.998283
218.510064,3.175247,0.0,70.004689
219.17694,2.68136,0.0,70.001664
219.831244,3.093876,0.0,70.001855
220.479819,3.406709,0.0,70.002085
221.132114,3.040865,0.0,70.002929
221.787134,3.010665,0.0,70.00038
222.434124,2.932964,0.0,69.999661
223.083658,3.303017,0.0,70.004079
223.732483,3.097266,0.0,69.997928
224.385489,2.932484,0.0,70.001035
225.032709,3.126216,0.0,69.997904
225.683464,2.883933,0.0,70.002956
226.333274,2.58169,0.0,70.001727
226.991242,2.531819,0.0,70.004822
227.643734,3.254287,0.0,69.995801
228.29213,2.673461,0.0,69.99534
228.943497,3.218507,0.0,70.001132
229.592542,3.032705,0.0,69.999224
230.241272,2.673501,0.0,69.993774
230.904166,3.038855,0.0,69.992175
231.560052,3.113725,0.0,69.994217
232.230143,2.788772,0.0,69.998347
232.882205,3.170347,0.0,69.99608
233.532525,2.676401,0.0,69.992442
234.203422,3.349428,0.0,69.99547
234.852684,3.330779,0.0,69.997922
235.508061,2.950574,0.0,70.000137
236.15821,2.975124,0.0,70.005478
236.807805,3.106616,0.0,70.0081
237.46243,2.941103,0.0,70.006382
238.127253,2.988785,0.0,70.004203
238.778505,2.388707,0.0,70.005654
239.443516,2.925864,0.0,70.006722
240.093559,2.360337,0.0,70.000953
240.744206,2.56922,0.0,70.001336
241.397403,2.538339,0.0,69.997855
242.048421,3.068875,0.0,69.998429
242.702517,2.806892,0.0,70.00481
243.35685,2.855793,0.0,70.000802
244.015101,2.723662,0.0,69.99838
244.661468,2.846932,0.0,69.997761
245.30886,2.388138,0.0,69.997518
245.960488,2.807952,0.0,70.004134
246.602969,2.672551,0.0,70.001299
247.258523,2.58523,0.0,69.998574
247.919242,2.866593,0.0,69.997218
248.562329,2.63141,0.0,69.997303
249.213412,2.824622,0.0,69.999567
249.862707,2.852663,0.0,69.998638
250.509498,2.692811,0.0,70.001745
251.159564,2.907824,0.0,70.003017
251.817305,2.786472,0.0,70.000838
252.464576,2.68139,0.0,70.00099
253.117613,2.500679,0.0,70.001767
253.770078,2.836153,0.0,69.999988
254.417993,2.919654,0.0,70.000371
255.065467,2.803802,0.0,70.002905
255.714674,2.853543,0.0,69.99598
256.363512,2.67923,0.0,69.998401
257.011028,3.010515,0.0,69.999278
257.657353,2.926514,0.0,69.996893
258.300249,3.026865,0.0,69.999236
258.948461,3.252007,0.0,69.998174
259.601748,2.824102,0.0,69.992636
260.258925,2.869523,0.0,69.993219
260.912246,2.749682,0.0,69.994548
261.570071,2.664551,0.0,69.996669
262.224026,2.730401,0.0,70.001354
262.879485,2.791642,0.0,69.998553
263.5356,2.742162,0.0,69.998896
265.445385,4.167518,0.0,70.010725
266.096991,3.49205,0.0,70.012035
266.754699,3.572952,0.0,70.008892
267.40103,3.51045,0.0,70.006306
268.052468,3.180927,0.0,70.009031
268.703111,3.547291,0.0,70.011838
269.358565,3.558161,0.0,70.013556
270.013713,3.287848,0.0,70.010175
270.673671,3.48955,0.0,70.008655
271.32527,3.320348,0.0,70.010706
271.994195,3.276908,0.0,70.003997
272.642351,2.950514,0.0,70.006716
273.294679,2.961634,0.0,70.005229
273.953464,3.099296,0.0,70.014527
274.614181,3.431209,0.0,70.00735
275.264788,3.374369,0.0,70.006698
275.923978,3.377929,0.0,70.009201
276.574736,3.242168,0.0,70.003178
277.230815,3.410429,0.0,70.006285
277.883291,3.632922,0.0,70.003281
278.539381,3.556661,0.0,70.006197
279.190317,3.122526,0.0,70.005927
279.85101,3.089816,0.0,70.006252
280.499852,3.459929,0.0,70.002553
281.146875,3.510751,0.0,70.005168
281.79409,3.250027,0.0,70.002556
282.440465,3.296128,0.0,70.004892
283.09393,3.079836,0.0,70.005074
283.748689,3.269218,0.0,70.002289
284.403822,3.143116,0.0,70.00559
285.052058,3.018925,0.0,70.007056
285.711473,2.956634,0.0,70.007396
286.361242,2.848653,0.0,70.006534
287.009053,3.140386,0.0,70.004929
287.657118,3.284828,0.0,70.005693
288.307628,3.348268,0.0,70.003766
288.958021,3.167477,0.0,70.012682
289.615019,2.921044,0.0,70.008616
290.267668,3.051665,0.0,70.009729
290.91697,3.043655,0.0,70.012491
291.58519,3.137536,0.0,70.010476
292.233599,3.078456,0.0,70.006419
292.887704,3.281457,0.0,70.00745
293.545921,2.903194,0.0,70.006719
294.202696,3.334848,0.0,70.004024
294.857975,2.978305,0.0,70.00471
295.510633,2.971024,0.0,70.005056
296.166451,3.51176,0.0,70.005017
296.813646,3.247898,0.0,70.004531
297.459417,3.112236,0.0,70.011277
298.112195,3.180326,0.0,70.010479
298.762683,3.503601,0.0,70.009608
299.410443,3.344038,0.0,70.005863
300.064283,3.170507,0.0,70.011073
300.710005,3.007495,0.0,70.019142
301.36564,3.53141,0.0,70.019707
302.019994,3.155087,0.0,70.019764
302.671214,3.252287,0.0,70.015216
303.324329,3.41278,0.0,70.016599
303.974067,3.439279,0.0,70.017537
304.623977,2.858263,0.0,70.017522
305.284633,2.732672,0.0,70.014144
305.933913,2.934534,0.0,70.014639
306.584339,2.759741,0.0,70.014065
307.237085,2.926624,0.0,70.013656
307.906208,3.249488,0.0,70.017916
308.561703,2.915073,0.0,70.012673
309.208877,2.57219,0.0,70.014059
309.861467,3.623052,0.0,70.014964
310.51143,2.846213,0.0,70.016803
311.162206,2.745891,0.0,70.013905
311.814033,2.787102,0.0,70.014096
312.468471,3.45749,0.0,70.019904
313.145258,3.765024,0.0,70.013459
313.803663,3.087855,0.0,70.014518
314.457148,3.42161,0.0,70.011028
315.110764,3.059635,0.0,70.01253
315.75681,3.594101,0.0,70.010354
316.410697,3.276628,0.0,70.006777
317.068795,3.322619,0.0,70.008989
317.721806,3.54463,0.0,70.008603
318.373057,3.085836,0.0,70.006962
319.022838,3.149826,0.0,70.009878
319.675741,3.078746,0.0,70.008983
320.327525,3.262377,0.0,70.010512
320.982617,3.379358,0.0,70.006048
321.634001,3.146277,0.0,70.006431
322.288761,3.017425,0.0,70.006161
322.947353,2.870373,0.0,70.011125
323.603473,2.934043,0.0,70.005232
324.261053,2.774582,0.0,70.008661
324.903504,3.329599,0.0,70.010327
325.557945,2.942954,0.0,70.01344
326.209853,2.6484,0.0,70.013756
326.862149,3.053646,0.0,70.00634
327.511408,3.227947,0.0,70.008276
328.161989,2.748902,0.0,70.011957
328.807925,2.556399,0.0,70.009259
